ID	Codón_CTG	Tamaño	Frecuencia%	Intrones
DEHA2C10120g	9	623	1.4446%	0
DEHA2C13156g	9	1037	0.8679%	0
DEHA2C15268g	9	1887	0.4769%	0
DEHA2C17028g	9	1390	0.6475%	0
DEHA2C17138g	9	760	1.1842%	0
DEHA2C17292g	9	1456	0.6181%	0
DEHA2D03608g	9	1297	0.6939%	0
DEHA2D16060g	9	566	1.5901%	0
DEHA2D18590g	9	603	1.4925%	0
DEHA2E07480g	9	662	1.3595%	0
DEHA2E07942g	9	855	1.0526%	0
DEHA2E13266g	9	1157	0.7779%	0
DEHA2E15994g	9	862	1.0441%	0
DEHA2E20482g	9	671	1.3413%	0
DEHA2E23826g	9	807	1.1152%	0
DEHA2F07986g	9	1151	0.7819%	0
DEHA2F10340g	9	1192	0.7550%	0
DEHA2F10758g	9	932	0.9657%	0
DEHA2F19998g	9	727	1.2380%	0
DEHA2F24882g	9	913	0.9858%	0
DEHA2F25256g	9	865	1.0405%	0
DEHA2G08690g	9	1312	0.6860%	0
DEHA2G08910g	9	2494	0.3609%	0
DEHA2G11946g	9	1279	0.7037%	0
DEHA2G15356g	9	611	1.4730%	0
DEHA2G17292g	9	889	1.0124%	0
DEHA2G19206g	9	1409	0.6388%	0
DEHA2G21164g	9	802	1.1222%	0
DEHA2A03388g	8	1124	0.7117%	1
DEHA2A07458g	8	1098	0.7286%	0
DEHA2A09020g	8	1444	0.5540%	0
DEHA2A13024g	8	927	0.8630%	0
DEHA2A13816g	8	1056	0.7576%	0
DEHA2B01826g	8	535	1.4953%	0
DEHA2B02068g	8	730	1.0959%	0
DEHA2B06160g	8	899	0.8899%	0
DEHA2B08536g	8	803	0.9963%	0
DEHA2B10450g	8	361	2.2161%	0
DEHA2B10912g	8	1151	0.6950%	0
DEHA2B11110g	8	847	0.9445%	0
DEHA2B14377g	8	428	1.8692%	0
DEHA2B15004g	8	703	1.1380%	0
DEHA2C01540g	8	657	1.2177%	0
DEHA2C01980g	8	1070	0.7477%	0
DEHA2C02618g	8	652	1.2270%	0
DEHA2C08536g	8	681	1.1747%	0
DEHA2C08910g	8	1438	0.5563%	0
DEHA2C10362g	8	652	1.2270%	0
DEHA2C10560g	8	708	1.1299%	0
DEHA2C11044g	8	894	0.8949%	0
DEHA2C12298g	8	668	1.1976%	0
DEHA2C15224g	8	731	1.0944%	0
DEHA2C15444g	8	834	0.9592%	0
DEHA2C16148g	8	899	0.8899%	0
DEHA2C16434g	8	749	1.0681%	0
DEHA2C17468g	8	925	0.8649%	0
DEHA2D01694g	8	1172	0.6826%	0
DEHA2D01936g	8	821	0.9744%	0
DEHA2D05500g	8	409	1.9560%	0
DEHA2D06930g	8	846	0.9456%	0
DEHA2D10868g	8	837	0.9558%	0
DEHA2D12650g	8	633	1.2638%	0
DEHA2D12672g	8	633	1.2638%	0
DEHA2D13860g	8	1011	0.7913%	0
DEHA2D14454g	8	930	0.8602%	0
DEHA2D15752g	8	690	1.1594%	0
DEHA2D17138g	8	567	1.4109%	0
DEHA2D17314g	8	1309	0.6112%	0
DEHA2E03322g	8	937	0.8538%	0
DEHA2E09504g	8	843	0.9490%	0
DEHA2E11836g	8	821	0.9744%	0
DEHA2E12298g	8	1714	0.4667%	0
DEHA2E13794g	8	1058	0.7561%	0
DEHA2E14190g	8	1251	0.6395%	0
DEHA2E16544g	8	789	1.0139%	0
DEHA2E16588g	8	1491	0.5366%	0
DEHA2E18458g	8	688	1.1628%	0
DEHA2E18524g	8	840	0.9524%	0
DEHA2E21868g	8	655	1.2214%	0
DEHA2F01782g	8	751	1.0652%	0
DEHA2F03520g	8	697	1.1478%	0
DEHA2F04444g	8	1323	0.6047%	0
DEHA2F07282g	8	1278	0.6260%	0
DEHA2F09746g	8	876	0.9132%	0
DEHA2F10978g	8	377	2.1220%	0
DEHA2F11682g	8	1210	0.6612%	0
DEHA2F13222g	8	748	1.0695%	0
DEHA2F18172g	8	2538	0.3152%	0
DEHA2F19338g	8	795	1.0063%	0
DEHA2F20548g	8	837	0.9558%	0
DEHA2F21076g	8	777	1.0296%	0
DEHA2G00594g	8	381	2.0997%	0
DEHA2G03036g	8	1115	0.7175%	0
DEHA2G03102g	8	1590	0.5031%	0
DEHA2G04400g	8	527	1.5180%	0
DEHA2G06292g	8	794	1.0076%	0
DEHA2G06820g	8	1531	0.5225%	0
DEHA2G11000g	8	1345	0.5948%	0
DEHA2G12936g	8	1016	0.7874%	0
DEHA2G13156g	8	280	2.8571%	0
DEHA2G15488g	8	1082	0.7394%	0
DEHA2G16940g	8	659	1.2140%	0
DEHA2G19228g	8	976	0.8197%	0
DEHA2G20922g	8	807	0.9913%	0
DEHA2G23936g	8	1325	0.6038%	0
DEHA2A01100g	7	941	0.7439%	0
DEHA2A03146g	7	1291	0.5422%	0
DEHA2A03366g	7	659	1.0622%	0
DEHA2A05038g	7	944	0.7415%	0
DEHA2A05258g	7	897	0.7804%	0
DEHA2A06754g	7	1004	0.6972%	1
DEHA2A08624g	7	830	0.8434%	0
DEHA2A09284g	7	614	1.1401%	0
DEHA2A11242g	7	1243	0.5632%	0
DEHA2A11836g	7	859	0.8149%	0
DEHA2A13112g	7	782	0.8951%	0
DEHA2B02948g	7	797	0.8783%	0
DEHA2B07172g	7	799	0.8761%	0
DEHA2B08690g	7	856	0.8178%	0
DEHA2B08844g	7	713	0.9818%	0
DEHA2B09504g	7	504	1.3889%	0
DEHA2B10362g	7	175	4.0000%	0
DEHA2B10714g	7	359	1.9499%	0
DEHA2B11616g	7	1109	0.6312%	0
DEHA2B12430g	7	825	0.8485%	0
DEHA2B13838g	7	157	4.4586%	0
DEHA2C00748g	7	898	0.7795%	0
DEHA2C10164g	7	364	1.9231%	0
DEHA2C10318g	7	621	1.1272%	0
DEHA2C10340g	7	662	1.0574%	0
DEHA2C14696g	7	1377	0.5084%	0
DEHA2C15906g	7	758	0.9235%	0
DEHA2C16764g	7	990	0.7071%	0
DEHA2D02640g	7	844	0.8294%	0
DEHA2D04158g	7	330	2.1212%	0
DEHA2D04686g	7	629	1.1129%	0
DEHA2D06578g	7	593	1.1804%	0
DEHA2D06908g	7	1024	0.6836%	0
DEHA2D07238g	7	518	1.3514%	0
DEHA2D08030g	7	577	1.2132%	0
DEHA2D08932g	7	1572	0.4453%	0
DEHA2D09020g	7	786	0.8906%	0
DEHA2D09108g	7	737	0.9498%	0
DEHA2D09306g	7	822	0.8516%	0
DEHA2D11528g	7	923	0.7584%	0
DEHA2D14168g	7	568	1.2324%	0
DEHA2D15136g	7	510	1.3725%	0
DEHA2D19030g	7	606	1.1551%	0
DEHA2E02596g	7	645	1.0853%	0
DEHA2E02904g	7	793	0.8827%	0
DEHA2E03828g	7	832	0.8413%	0
DEHA2E04400g	7	1544	0.4534%	0
DEHA2E06050g	7	572	1.2238%	0
DEHA2E11550g	7	882	0.7937%	0
DEHA2E13398g	7	1091	0.6416%	0
DEHA2E13596g	7	573	1.2216%	0
DEHA2E14014g	7	737	0.9498%	0
DEHA2E16302g	7	729	0.9602%	0
DEHA2E16874g	7	1350	0.5185%	0
DEHA2E17028g	7	1027	0.6816%	0
DEHA2E17050g	7	247	2.8340%	0
DEHA2E18018g	7	935	0.7487%	0
DEHA2E18370g	7	933	0.7503%	0
DEHA2E19030g	7	640	1.0938%	0
DEHA2E19602g	7	793	0.8827%	0
DEHA2E19668g	7	1111	0.6301%	0
DEHA2E19712g	7	691	1.0130%	0
DEHA2E21560g	7	907	0.7718%	0
DEHA2E22242g	7	1012	0.6917%	0
DEHA2E23738g	7	1574	0.4447%	0
DEHA2E23760g	7	701	0.9986%	0
DEHA2F01474g	7	1363	0.5136%	0
DEHA2F04290g	7	714	0.9804%	0
DEHA2F05302g	7	975	0.7179%	0
DEHA2F05808g	7	927	0.7551%	0
DEHA2F05896g	7	658	1.0638%	0
DEHA2F06380g	7	1016	0.6890%	0
DEHA2F06468g	7	1496	0.4679%	0
DEHA2F07436g	7	940	0.7447%	0
DEHA2F07678g	7	1064	0.6579%	1
DEHA2F09394g	7	378	1.8519%	0
DEHA2F09636g	7	892	0.7848%	0
DEHA2F11704g	7	915	0.7650%	0
DEHA2F13090g	7	811	0.8631%	0
DEHA2F15136g	7	1117	0.6267%	0
DEHA2F15642g	7	680	1.0294%	0
DEHA2F17600g	7	648	1.0802%	0
DEHA2F17842g	7	866	0.8083%	0
DEHA2F17864g	7	722	0.9695%	0
DEHA2F17930g	7	906	0.7726%	0
DEHA2F18128g	7	652	1.0736%	0
DEHA2F19514g	7	529	1.3233%	0
DEHA2F22110g	7	1244	0.5627%	1
DEHA2F25168g	7	534	1.3109%	0
DEHA2F25432g	7	1743	0.4016%	0
DEHA2F26708g	7	691	1.0130%	0
DEHA2F26906g	7	930	0.7527%	0
DEHA2F27214g	7	926	0.7559%	0
DEHA2G02178g	7	751	0.9321%	0
DEHA2G02332g	7	837	0.8363%	2
DEHA2G02970g	7	466	1.5021%	0
DEHA2G04158g	7	462	1.5152%	0
DEHA2G04774g	7	539	1.2987%	0
DEHA2G05544g	7	3349	0.2090%	0
DEHA2G05874g	7	1460	0.4795%	0
DEHA2G07612g	7	619	1.1309%	0
DEHA2G07678g	7	252	2.7778%	0
DEHA2G08250g	7	879	0.7964%	0
DEHA2G08646g	7	688	1.0174%	0
DEHA2G13574g	7	985	0.7107%	0
DEHA2G15202g	7	486	1.4403%	0
DEHA2G15598g	7	1266	0.5529%	0
DEHA2G18568g	7	1814	0.3859%	0
DEHA2G18898g	7	1066	0.6567%	0
DEHA2G22352g	7	990	0.7071%	0
DEHA2A01628g	6	967	0.6205%	0
DEHA2A01716g	6	1774	0.3382%	0
DEHA2A01892g	6	582	1.0309%	0
DEHA2A02596g	6	730	0.8219%	0
DEHA2A02728g	6	711	0.8439%	0
DEHA2A03674g	6	559	1.0733%	0
DEHA2A04400g	6	485	1.2371%	1
DEHA2A05016g	6	792	0.7576%	0
DEHA2A05412g	6	553	1.0850%	0
DEHA2A05852g	6	1096	0.5474%	0
DEHA2A07326g	6	1780	0.3371%	0
DEHA2A07964g	6	381	1.5748%	0
DEHA2A09416g	6	1032	0.5814%	0
DEHA2A10912g	6	797	0.7528%	0
DEHA2A11396g	6	858	0.6993%	0
DEHA2A12056g	6	1133	0.5296%	0
DEHA2A12738g	6	571	1.0508%	1
DEHA2B00110g	6	561	1.0695%	0
DEHA2B00220g	6	619	0.9693%	0
DEHA2B00638g	6	723	0.8299%	2
DEHA2B01386g	6	1130	0.5310%	0
DEHA2B01650g	6	496	1.2097%	0
DEHA2B02530g	6	1266	0.4739%	0
DEHA2B03102g	6	569	1.0545%	0
DEHA2B03212g	6	463	1.2959%	0
DEHA2B05038g	6	863	0.6952%	0
DEHA2B05214g	6	675	0.8889%	0
DEHA2B05610g	6	918	0.6536%	0
DEHA2B05632g	6	325	1.8462%	0
DEHA2B07920g	6	1395	0.4301%	0
DEHA2B09746g	6	550	1.0909%	0
DEHA2B10010g	6	1846	0.3250%	0
DEHA2B10582g	6	294	2.0408%	0
DEHA2B10780g	6	728	0.8242%	0
DEHA2B11594g	6	923	0.6501%	0
DEHA2B12408g	6	677	0.8863%	0
DEHA2B14608g	6	606	0.9901%	0
DEHA2C02926g	6	1819	0.3299%	0
DEHA2C04466g	6	1230	0.4878%	0
DEHA2C04906g	6	805	0.7453%	0
DEHA2C05302g	6	1179	0.5089%	0
DEHA2C05478g	6	743	0.8075%	0
DEHA2C06798g	6	1581	0.3795%	0
DEHA2C07414g	6	393	1.5267%	0
DEHA2C07656g	6	498	1.2048%	0
DEHA2C08426g	6	784	0.7653%	0
DEHA2C09108g	6	583	1.0292%	0
DEHA2C11638g	6	896	0.6696%	0
DEHA2C12936g	6	1290	0.4651%	0
DEHA2C13090g	6	950	0.6316%	0
DEHA2C14124g	6	440	1.3636%	0
DEHA2C15312g	6	877	0.6842%	0
DEHA2C16016g	6	487	1.2320%	0
DEHA2C16346g	6	815	0.7362%	0
DEHA2C16676g	6	933	0.6431%	0
DEHA2C16742g	6	979	0.6129%	0
DEHA2C16984g	6	636	0.9434%	0
DEHA2C17578g	6	613	0.9788%	0
DEHA2D00660g	6	641	0.9360%	0
DEHA2D01562g	6	1054	0.5693%	0
DEHA2D01716g	6	900	0.6667%	0
DEHA2D03014g	6	1185	0.5063%	0
DEHA2D04268g	6	844	0.7109%	0
DEHA2D07458g	6	649	0.9245%	0
DEHA2D08008g	6	611	0.9820%	0
DEHA2D09152g	6	752	0.7979%	0
DEHA2D09724g	6	398	1.5075%	0
DEHA2D09988g	6	1612	0.3722%	0
DEHA2D11242g	6	1052	0.5703%	0
DEHA2D11616g	6	693	0.8658%	0
DEHA2D11814g	6	807	0.7435%	0
DEHA2D12804g	6	752	0.7979%	0
DEHA2D13310g	6	662	0.9063%	0
DEHA2D13332g	6	1168	0.5137%	0
DEHA2D13420g	6	616	0.9740%	0
DEHA2D14344g	6	579	1.0363%	0
DEHA2D14740g	6	634	0.9464%	0
DEHA2D14762g	6	481	1.2474%	0
DEHA2D14916g	6	725	0.8276%	0
DEHA2D15642g	6	718	0.8357%	0
DEHA2D18964g	6	570	1.0526%	0
DEHA2D19052g	6	350	1.7143%	0
DEHA2D19470g	6	641	0.9360%	0
DEHA2E00176g	6	766	0.7833%	0
DEHA2E01958g	6	378	1.5873%	0
DEHA2E02376g	6	645	0.9302%	0
DEHA2E03058g	6	1215	0.4938%	0
DEHA2E03190g	6	642	0.9346%	0
DEHA2E03542g	6	788	0.7614%	0
DEHA2E04444g	6	832	0.7212%	0
DEHA2E06886g	6	731	0.8208%	0
DEHA2E07656g	6	613	0.9788%	0
DEHA2E08294g	6	421	1.4252%	0
DEHA2E10186g	6	696	0.8621%	0
DEHA2E10472g	6	726	0.8264%	0
DEHA2E10714g	6	577	1.0399%	0
DEHA2E10802g	6	475	1.2632%	0
DEHA2E11022g	6	1000	0.6000%	0
DEHA2E11572g	6	909	0.6601%	0
DEHA2E12452g	6	1159	0.5177%	0
DEHA2E12518g	6	765	0.7843%	0
DEHA2E12716g	6	2202	0.2725%	0
DEHA2E12958g	6	1123	0.5343%	0
DEHA2E13948g	6	645	0.9302%	0
DEHA2E14168g	6	667	0.8996%	0
DEHA2E14366g	6	1755	0.3419%	0
DEHA2E14674g	6	1173	0.5115%	0
DEHA2E15972g	6	604	0.9934%	0
DEHA2E16830g	6	685	0.8759%	0
DEHA2E18942g	6	622	0.9646%	0
DEHA2E19800g	6	1042	0.5758%	0
DEHA2E20042g	6	1664	0.3606%	0
DEHA2E20152g	6	1597	0.3757%	0
DEHA2E20790g	6	987	0.6079%	0
DEHA2E21670g	6	641	0.9360%	0
DEHA2E21802g	6	1550	0.3871%	0
DEHA2E22594g	6	849	0.7067%	0
DEHA2E22814g	6	1073	0.5592%	0
DEHA2E23672g	6	922	0.6508%	0
DEHA2E24090g	6	744	0.8065%	2
DEHA2E24398g	6	593	1.0118%	0
DEHA2F01320g	6	1560	0.3846%	0
DEHA2F01914g	6	368	1.6304%	0
DEHA2F02838g	6	640	0.9375%	0
DEHA2F03388g	6	1367	0.4389%	0
DEHA2F04136g	6	831	0.7220%	0
DEHA2F04334g	6	858	0.6993%	0
DEHA2F04642g	6	693	0.8658%	0
DEHA2F05148g	6	1111	0.5401%	0
DEHA2F06446g	6	884	0.6787%	0
DEHA2F06534g	6	783	0.7663%	0
DEHA2F08602g	6	977	0.6141%	0
DEHA2F08844g	6	472	1.2712%	0
DEHA2F08932g	6	1089	0.5510%	0
DEHA2F09196g	6	770	0.7792%	0
DEHA2F09328g	6	1125	0.5333%	0
DEHA2F09592g	6	728	0.8242%	0
DEHA2F09878g	6	1334	0.4498%	0
DEHA2F13376g	6	307	1.9544%	0
DEHA2F13794g	6	857	0.7001%	0
DEHA2F14476g	6	581	1.0327%	0
DEHA2F14586g	6	545	1.1009%	0
DEHA2F14652g	6	696	0.8621%	0
DEHA2F17182g	6	420	1.4286%	0
DEHA2F18788g	6	777	0.7722%	0
DEHA2F19646g	6	1338	0.4484%	0
DEHA2F21142g	6	508	1.1811%	0
DEHA2F21164g	6	535	1.1215%	0
DEHA2F21318g	6	580	1.0345%	0
DEHA2F22572g	6	1737	0.3454%	0
DEHA2F23694g	6	605	0.9917%	0
DEHA2F24002g	6	537	1.1173%	0
DEHA2F24948g	6	546	1.0989%	0
DEHA2F25014g	6	731	0.8208%	0
DEHA2F25586g	6	1048	0.5725%	0
DEHA2F25718g	6	1101	0.5450%	0
DEHA2F26224g	6	1195	0.5021%	0
DEHA2F26334g	6	388	1.5464%	0
DEHA2F26774g	6	544	1.1029%	0
DEHA2G01584g	6	583	1.0292%	0
DEHA2G03696g	6	332	1.8072%	0
DEHA2G03784g	6	506	1.1858%	0
DEHA2G04906g	6	885	0.6780%	0
DEHA2G05214g	6	651	0.9217%	0
DEHA2G08976g	6	824	0.7282%	0
DEHA2G09614g	6	1001	0.5994%	0
DEHA2G10560g	6	569	1.0545%	0
DEHA2G12804g	6	1039	0.5775%	0
DEHA2G15092g	6	640	0.9375%	0
DEHA2G15334g	6	532	1.1278%	0
DEHA2G15818g	6	596	1.0067%	0
DEHA2G16786g	6	869	0.6904%	0
DEHA2G17380g	6	407	1.4742%	0
DEHA2G19822g	6	624	0.9615%	0
DEHA2G20284g	6	490	1.2245%	0
DEHA2G20460g	6	423	1.4184%	0
DEHA2G20636g	6	706	0.8499%	0
DEHA2G21076g	6	769	0.7802%	0
DEHA2G21494g	6	1034	0.5803%	0
DEHA2G21626g	6	687	0.8734%	0
DEHA2G21824g	6	1023	0.5865%	0
DEHA2G23122g	6	928	0.6466%	0
DEHA2A00242g	5	640	0.7812%	0
DEHA2A01342g	5	687	0.7278%	1
DEHA2A01606g	5	514	0.9728%	0
DEHA2A02552g	5	489	1.0225%	0
DEHA2A03190g	5	731	0.6840%	0
DEHA2A03520g	5	951	0.5258%	0
DEHA2A03630g	5	502	0.9960%	0
DEHA2A04466g	5	758	0.6596%	0
DEHA2A04664g	5	667	0.7496%	0
DEHA2A05632g	5	375	1.3333%	0
DEHA2A06028g	5	820	0.6098%	0
DEHA2A06908g	5	985	0.5076%	1
DEHA2A07986g	5	482	1.0373%	0
DEHA2A08316g	5	343	1.4577%	0
DEHA2A08558g	5	433	1.1547%	0
DEHA2A08668g	5	769	0.6502%	0
DEHA2A08866g	5	244	2.0492%	0
DEHA2A09086g	5	1138	0.4394%	0
DEHA2A09504g	5	490	1.0204%	0
DEHA2A09526g	5	1194	0.4188%	0
DEHA2A10868g	5	959	0.5214%	0
DEHA2A10890g	5	895	0.5587%	1
DEHA2A11022g	5	387	1.2920%	0
DEHA2A11594g	5	1032	0.4845%	0
DEHA2A11880g	5	554	0.9025%	1
DEHA2A11902g	5	385	1.2987%	0
DEHA2A12034g	5	1310	0.3817%	0
DEHA2A12254g	5	545	0.9174%	0
DEHA2A13002g	5	641	0.7800%	0
DEHA2A14080g	5	638	0.7837%	0
DEHA2A14278g	5	840	0.5952%	0
DEHA2B02046g	5	942	0.5308%	0
DEHA2B02222g	5	703	0.7112%	0
DEHA2B02882g	5	516	0.9690%	0
DEHA2B03036g	5	717	0.6974%	0
DEHA2B03586g	5	529	0.9452%	0
DEHA2B03806g	5	905	0.5525%	0
DEHA2B04136g	5	788	0.6345%	0
DEHA2B04598g	5	536	0.9328%	0
DEHA2B04620g	5	1228	0.4072%	1
DEHA2B06028g	5	1245	0.4016%	0
DEHA2B06072g	5	643	0.7776%	0
DEHA2B06336g	5	835	0.5988%	0
DEHA2B07018g	5	585	0.8547%	1
DEHA2B07128g	5	1068	0.4682%	0
DEHA2B07370g	5	378	1.3228%	0
DEHA2B07986g	5	691	0.7236%	0
DEHA2B09460g	5	669	0.7474%	0
DEHA2B11990g	5	624	0.8013%	0
DEHA2B12364g	5	1242	0.4026%	0
DEHA2B13024g	5	569	0.8787%	0
DEHA2B14080g	5	1429	0.3499%	0
DEHA2B14102g	5	674	0.7418%	0
DEHA2B14432g	5	617	0.8104%	0
DEHA2B14674g	5	454	1.1013%	0
DEHA2B15334g	5	2213	0.2259%	0
DEHA2B15620g	5	608	0.8224%	0
DEHA2B15708g	5	931	0.5371%	0
DEHA2B15818g	5	999	0.5005%	0
DEHA2B16676g	5	643	0.7776%	0
DEHA2B16742g	5	641	0.7800%	0
DEHA2C00814g	5	515	0.9709%	0
DEHA2C01144g	5	543	0.9208%	0
DEHA2C01914g	5	443	1.1287%	0
DEHA2C02838g	5	1252	0.3994%	0
DEHA2C03146g	5	1254	0.3987%	0
DEHA2C03608g	5	788	0.6345%	0
DEHA2C04224g	5	483	1.0352%	0
DEHA2C04246g	5	412	1.2136%	0
DEHA2C04862g	5	401	1.2469%	0
DEHA2C05742g	5	1180	0.4237%	0
DEHA2C07436g	5	324	1.5432%	0
DEHA2C07502g	5	983	0.5086%	0
DEHA2C08250g	5	530	0.9434%	0
DEHA2C08800g	5	789	0.6337%	0
DEHA2C08932g	5	524	0.9542%	0
DEHA2C09460g	5	865	0.5780%	0
DEHA2C09988g	5	466	1.0730%	0
DEHA2C12496g	5	646	0.7740%	0
DEHA2C12628g	5	521	0.9597%	0
DEHA2C12650g	5	417	1.1990%	0
DEHA2C13948g	5	622	0.8039%	0
DEHA2C13970g	5	487	1.0267%	0
DEHA2C14344g	5	1176	0.4252%	0
DEHA2C15048g	5	867	0.5767%	0
DEHA2C15378g	5	575	0.8696%	0
DEHA2C15466g	5	529	0.9452%	0
DEHA2C17512g	5	651	0.7680%	1
DEHA2C17556g	5	212	2.3585%	0
DEHA2D01650g	5	369	1.3550%	0
DEHA2D02068g	5	494	1.0121%	0
DEHA2D02596g	5	713	0.7013%	0
DEHA2D02904g	5	1256	0.3981%	0
DEHA2D03124g	5	938	0.5330%	0
DEHA2D03146g	5	930	0.5376%	0
DEHA2D03256g	5	506	0.9881%	0
DEHA2D03564g	5	361	1.3850%	0
DEHA2D04488g	5	1223	0.4088%	0
DEHA2D04796g	5	617	0.8104%	0
DEHA2D04818g	5	415	1.2048%	0
DEHA2D05434g	5	672	0.7440%	0
DEHA2D06270g	5	386	1.2953%	0
DEHA2D06424g	5	1240	0.4032%	0
DEHA2D06996g	5	665	0.7519%	0
DEHA2D07436g	5	904	0.5531%	0
